Date,00 Live animals (excl. fish),01 Meat and meat preparations,02 Dairy products and birds’ eggs,03 Fish (excl. marine mammals),04 Cereals and cereal preparations,05 Vegetables and fruit,"06 Sugars, sugar preparations and honey","07 Coffee, tea, cocoa, spices",08 Feeding stuff for animals,09 Miscellaneous edible products
1261,6,66,90,161,126,231,48,209,73,251
1222,11,65,80,180,112,218,41,189,60,265
1237,12,56,97,173,112,232,52,178,80,244
1048,19,59,87,145,95,208,34,155,44,202
1162,12,67,84,156,97,212,39,146,90,260
1129,8,69,92,137,105,209,35,168,72,235
1077,8,71,82,133,97,186,36,163,54,247
1131,8,64,76,140,99,214,31,165,87,247
1139,7,70,92,146,109,210,34,156,64,252
1157,9,61,88,137,102,210,33,167,98,253
1204,5,72,85,154,116,233,42,172,88,237
1252,9,59,86,152,119,223,58,175,110,259
1177,9,56,94,169,117,210,43,167,62,251
1277,10,75,109,193,109,244,42,170,89,235
1224,17,57,100,190,100,242,56,171,61,230
1196,18,75,117,171,99,231,37,154,72,223
1065,30,67,104,135,84,198,32,136,78,200
1233,9,96,111,156,99,232,38,185,56,249
1048,9,67,97,136,91,186,30,141,73,217
1074,12,71,105,157,99,227,35,169,77,123
1234,11,60,111,154,105,217,39,170,115,252
1182,7,59,94,144,116,205,39,168,78,271
1184,11,69,108,154,132,239,42,206,75,148
1109,7,62,97,152,128,225,45,195,80,119
1292,6,59,109,177,127,230,43,175,89,277
1374,15,74,137,209,116,252,43,182,52,294
1313,20,74,131,205,113,242,37,176,94,220
1245,18,74,134,185,107,220,38,145,89,235
1144,22,66,121,164,98,201,33,141,81,216
1154,13,79,128,138,103,213,40,152,71,217
1077,12,80,110,145,101,172,30,137,93,197
1224,10,70,120,162,121,217,40,171,58,255
1189,10,64,126,144,116,201,41,166,91,229
1156,10,56,93,156,125,225,37,183,69,204
1363,10,65,122,172,149,239,48,219,107,232
1281,17,54,101,166,137,227,45,180,93,261
1490,8,66,120,200,155,264,45,196,116,319
1482,32,72,135,199,141,235,46,179,137,307
1327,6,76,110,182,126,233,40,162,95,298
1462,28,93,130,187,137,263,46,187,113,279
1220,18,74,117,162,113,214,35,157,65,267
1294,10,87,114,141,114,211,37,159,123,298
1246,3,81,116,160,127,218,40,170,58,273
1447,13,97,128,173,147,228,38,177,106,340
1341,10,83,105,151,169,200,33,163,130,295
1446,13,85,135,170,177,236,41,200,61,328
1462,13,83,106,164,194,230,41,189,117,324
1423,9,71,107,161,181,243,44,182,119,305
1629,8,97,137,200,205,278,48,206,99,352
1485,12,91,139,186,179,252,41,175,99,312
1483,8,87,143,179,173,233,41,166,148,305
1488,20,99,158,182,169,252,43,180,95,289
1317,18,88,133,143,127,227,35,158,107,280
1541,8,101,147,150,174,249,39,195,147,331
1531,0,88,144,160,176,280,49,167,123,344
